date_collected,product_itemid,product_shopid,product_category,product_name,product_price,product_price_min,product_price_max,product_discount,prod_rate_star_0,prod_rate_star_1,prod_rate_star_2,prod_rate_star_3,prod_rate_star_4,prod_rate_star_5,product_total_rating,stock,units_sold,status,shop_location
2021-06-13,8825971797,400651816,Top,Spot Men'sTT-shirt 2020Summer New Men's Short SleeveTT-shirt Korean Style Loose round Neck Half Sleeve Student Fashion Hong Kong Style Top Wholesale Fast Shipping,308.0,278,278,10,9,1,0,0,2,12,4.25,103201,32,1,Mainland China
2021-06-13,3032167190,371422543,Top,MOLLGE Korean Temperament Draping Green White Shirt Men's Shirt Long Sleeve Shirt Loose Top,716.0,358,358,50,10,1,0,0,0,11,4.91,15966,25,1,Mainland China
2021-06-13,8463305593,452978553,Top,New short sleeve T-shirt women's white top casual fashion simple loose Korean top,199.0,79,79,60,0,0,0,0,0,0,0.0,71,0,1,"Pasay City, Metro Manila"
2021-06-13,7157682905,47114599,Top,[SIMPLE] 2020 Korean fashion trendy breathable solid color sports top T-shirt,199.0,74,74,63,116,5,1,3,2,127,4.81,290,299,1,"Valenzuela City, Metro Manila"
2021-06-13,6436812935,35369989,Top,ICM #T233 Fashionable Quality Cotton Stretchable Top for Men T-shirt For Men(Korean Size),126.0,62,62,51,83,3,2,3,4,95,4.66,1429,283,1,"Navotas City, Metro Manila"
2021-06-13,9021642718,371422543,Top,Oversize Korean Men T Shirt Hip-hop Loose Short-sleeved Tshirt Men Top,496.0,248,248,50,29,3,1,1,1,35,4.66,6901,81,1,Mainland China
2021-06-13,10707611921,405162349,Top,COD M-4XL Fashion Couple T Shirt For Men 2021 Summer Tshirt For Men New Korean Trend Loose Top Men S T Shirt,558.0,269,269,52,0,0,0,0,0,0,0.0,17923,1,1,Mainland China
2021-06-13,5257682650,47114599,Top,[SIMPLE] 2020 Korean fashion trendy breathable solid color sports top T-shirt,199.0,74,74,63,178,4,2,1,2,187,4.9,109,423,1,"Valenzuela City, Metro Manila"
2021-06-13,4357682868,47114599,Top,[SIMPLE] 2020 Korean fashion trendy breathable solid color sports top T-shirt,199.0,74,74,63,78,1,1,2,0,82,4.89,651,179,1,"Valenzuela City, Metro Manila"
2021-06-13,3390794526,449754824,Top,【BTG】Embroidered Love Short-sleeved T-shirt Women Loose and Versatile Simple Top Ins,556.0,278,278,50,0,0,0,0,0,0,0.0,10000,0,1,Mainland China
2021-06-13,3861674318,311167337,Top,【3 Colors】Men's Long Sleeve T Shirt Solid Color Korean Style Trendy Tops Round Neck Tshirt Bottoming Casual Wild Long Sleeves,558.0,279,279,50,12,0,0,1,0,13,4.77,14919,46,1,Mainland China
